band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
i,341.19736726200307,-29.873374585463537,0.31359364638046117,0.016040802001953125,0.009002289734780788,0,False,True,0.016040802001953125,0.009002289734780788,2025-10-25 00:29:15.961000+00:00,2025-10-25 00:29:23.588000+00:00,7.627
i,323.9960938559192,-17.3852028699116,0.24494338836156615,0.013553619384765625,0.0032738051377236843,0,False,True,0.013553619384765625,0.0032738051377236843,2025-10-25 00:39:37.470000+00:00,2025-10-25 00:39:28.310000+00:00,9.16
i,323.9962218295949,-17.385203734046076,0.26903689706836076,0.00673675537109375,0.0031098653562366962,0,False,True,0.00673675537109375,0.0031098653562366962,2025-10-25 00:40:13.589000+00:00,2025-10-25 00:39:58.513000+00:00,15.076
i,324.56357384528235,-17.385972114529,0.2014444218623801,0.016344070434570312,0.0022111714351922274,0,False,True,0.016344070434570312,0.0022111714351922274,2025-10-25 00:41:53.200000+00:00,2025-10-25 00:41:39.233000+00:00,13.967
i,324.56345821673466,-17.386055176840298,0.33776428467154673,0.024272918701171875,0.0035250047221779823,0,False,True,0.024272918701171875,0.0035250047221779823,2025-10-25 00:42:29.360000+00:00,2025-10-25 00:42:39.705000+00:00,10.345
i,325.04420340352885,-17.386687830204988,0.21056341164129577,0.025173187255859375,0.0027465319726616144,0,False,True,0.025173187255859375,0.0027465319726616144,2025-10-25 00:43:48.128000+00:00,2025-10-25 00:43:50.288000+00:00,2.16
i,325.0441067109567,-17.38677373387862,0.22103654376117632,0.0270538330078125,0.003882092423737049,0,False,True,0.0270538330078125,0.003882092423737049,2025-10-25 00:44:24.221000+00:00,2025-10-25 00:44:20.533000+00:00,3.6879999999999997
i,325.52568711700735,-17.38739834812882,0.13018592097506954,0.0249481201171875,0.002664402360096574,0,False,True,0.0249481201171875,0.002664402360096574,2025-10-25 00:45:43.251000+00:00,2025-10-25 00:45:51.176000+00:00,7.925
i,325.5257461860767,-17.38739640937755,0.14251625582782879,0.020320892333984375,0.0018128599040210247,0,False,True,0.020320892333984375,0.0018128599040210247,2025-10-25 00:46:20.092000+00:00,2025-10-25 00:46:21.506000+00:00,1.414
i,326.0129173087818,-17.388109971704147,0.1919573754457211,0.028446197509765625,0.003067662473767996,0,False,True,0.028446197509765625,0.003067662473767996,2025-10-25 00:47:39.773000+00:00,2025-10-25 00:47:33.193000+00:00,6.58
i,326.01289573057284,-17.38811123388453,0.17692912424121232,0.020330429077148438,0.003323560580611229,0,False,True,0.020330429077148438,0.003323560580611229,2025-10-25 00:48:15.859000+00:00,2025-10-25 00:48:03.385000+00:00,12.474
i,326.49483542616815,-17.388889805815282,0.18602173292114443,0.01441192626953125,0.0034844335168600082,0,False,True,0.01441192626953125,0.0034844335168600082,2025-10-25 00:49:35.076000+00:00,2025-10-25 00:49:34.299000+00:00,0.777
i,326.495012868455,-17.38880695747754,0.17564536412146836,0.024698257446289062,0.004063678439706564,0,False,True,0.024698257446289062,0.004063678439706564,2025-10-25 00:50:11.225000+00:00,2025-10-25 00:50:04.591000+00:00,6.634
