band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
z,61069.04559670139,358.4168297218141,-24.660742056133557,24.293006896972656,80.59523755854907,True,90.73051822264648,3819.151123046875,30.735328674316406,21.918609619140625,2.4089295864105225,31.58596897125244,0.8506402969360352,19.6,-3799.551123046875,0.0,-1.0,True,True,True
g,60975.12108880787,41.374782382666936,-25.971831426359884,60.44697952270508,25.295728840138278,True,106.01836841718521,875.6188354492188,31.875225067138672,24.0931396484375,1.1497808694839478,32.23981475830078,0.3645896911621094,22.2,-853.4188354492187,0.0,-1.0,True,True,True
y,61013.29167412037,84.09139047596402,-28.26684589620873,69.77299499511719,98.96266260960667,True,59.794823992376095,1266.913330078125,29.292299270629883,20.856353759765625,1.0650304555892944,30.497295379638672,1.204996109008789,18.6,-1248.313330078125,0.0,-1.0,True,True,True
r,61046.25715143519,73.83517864096672,4.709207798660126,28.1846923828125,89.38745225866954,True,72.015608371849,2362.728271484375,30.924407958984375,22.468263626098633,2.1037864685058594,32.17755126953125,1.253143310546875,21.3,-2341.428271484375,0.0,-1.0,True,True,True
y,61048.20053217593,97.963963245812,-15.670036091253767,72.40203857421875,73.22369329401259,True,74.34301038941435,2882.71484375,30.12590789794922,21.418548583984375,1.0484673976898193,30.497295379638672,0.3713874816894531,18.6,-2864.11484375,0.0,-1.0,True,True,True
r,61046.25942490741,73.83531294224696,4.709206942946379,27.54025650024414,89.3778917369477,True,72.03284248091866,2420.638671875,30.922183990478516,22.462352752685547,2.148386240005493,32.17755126953125,1.2553672790527344,21.3,-2399.338671875,0.0,-1.0,True,True,True
z,61069.042321469904,357.25236500024175,-27.52846603708776,25.43259048461914,80.57695657990034,True,93.08561542625033,3955.957763671875,30.740690231323242,21.917922973632812,2.309396266937256,31.58596897125244,0.8452787399291992,19.6,-3936.357763671875,0.0,-1.0,True,True,True
y,61040.185145891206,128.90705933500436,-25.771533809206822,60.15871810913086,84.81435426707917,True,91.41327648063657,2188.9384765625,29.859195709228516,21.101364135742188,1.152748942375183,30.497295379638672,0.6380996704101562,18.6,-2170.3384765625,0.0,-1.0,True,True,True
i,61042.09549085648,45.7996852844041,-31.79210523413349,73.53396606445312,97.2601446687593,True,69.89878684618351,1980.553955078125,31.24102020263672,23.072494506835938,1.042140245437622,31.966468811035156,0.7254486083984375,20.5,-1960.053955078125,0.0,-1.0,True,True,True
i,61046.11181162037,46.17709658294947,-27.670650416795223,64.88640594482422,90.07921484505381,True,105.2439808801591,2371.47265625,31.25716209411621,23.00962257385254,1.1031174659729004,31.966468811035156,0.7093067169189453,20.5,-2350.97265625,0.0,-1.0,True,True,True
y,61044.119772962964,50.51139056105531,-28.340263591903057,67.9891357421875,99.07352664505353,True,83.05401766725106,1941.6600341796875,29.87091636657715,21.828933715820312,1.0777076482772827,30.497295379638672,0.6263790130615234,18.6,-1923.0600341796876,0.0,-1.0,True,True,True
i,60975.16134474537,8.633576859533004,-59.13065709825975,59.709808349609375,25.659557524331746,True,68.37466978840685,1855.33056640625,31.468082427978516,23.34583282470703,1.1571964025497437,31.966468811035156,0.4983863830566406,20.5,-1834.83056640625,0.0,-1.0,True,True,True
z,61069.04695408565,349.83202176414676,-36.56590107666621,21.71976089477539,80.60280927831496,True,102.98331057903033,4060.24951171875,30.72661590576172,21.864627838134766,2.673072338104248,31.58596897125244,0.8593530654907227,19.6,-4040.64951171875,0.0,-1.0,True,True,True
i,61008.02508319444,26.147586603668763,-50.138821332395395,65.12096405029297,57.74600817337042,True,56.05265284877751,5849.59765625,31.398061752319336,22.185047149658203,1.101987600326538,31.966468811035156,0.5684070587158203,20.5,-5829.09765625,0.0,-1.0,True,True,True
r,61013.18744364583,46.23894315804705,-28.34976247946315,69.5953140258789,98.80353343666064,True,55.25032093021261,2680.365478515625,31.01342010498047,22.838735580444336,1.0662468671798706,32.17755126953125,1.1641311645507812,21.3,-2659.065478515625,0.0,-1.0,True,True,True
r,61014.025811597225,348.9966765541541,-28.388496091182912,69.75523376464844,99.74348935085484,True,97.59454236572773,6713.9892578125,31.754487991333008,22.468463897705078,1.0649082660675049,32.17755126953125,0.4230632781982422,21.3,-6692.6892578125,0.0,-1.0,True,True,True
r,61046.25734082176,73.8352206259396,4.709208796857672,28.131147384643555,89.38665517324564,True,72.017012191281,2367.337890625,30.92565155029297,22.461734771728516,2.107431173324585,32.17755126953125,1.2518997192382812,21.3,-2346.037890625,0.0,-1.0,True,True,True
g,61013.05948806713,358.09064368666,-28.39146862233451,67.9512710571289,98.61357092470284,True,77.20677707660067,4236.2705078125,31.53965187072754,23.313182830810547,1.078048825263977,32.23981475830078,0.7001628875732422,22.2,-4214.0705078125,0.0,-1.0,True,True,True
i,61068.044616597224,85.73717823659432,-46.831918551851444,70.43067932128906,70.50756233014138,True,77.31569321379695,1180.96240234375,31.23276138305664,23.454010009765625,1.060967206954956,31.966468811035156,0.7337074279785156,20.5,-1160.46240234375,0.0,-1.0,True,True,True
r,61046.260181944446,73.8353024945392,4.709105622401369,27.325044631958008,89.37471197800537,True,72.03864543110352,2437.34765625,30.92099380493164,22.480615615844727,2.1637814044952393,32.17755126953125,1.2565574645996094,21.3,-2416.04765625,0.0,-1.0,True,True,True
r,60984.16738290509,33.70612498373142,-60.37261893901683,59.98890686035156,99.62247282445627,True,78.73354641769163,3947.4541015625,31.400938034057617,22.61547088623047,1.1541497707366943,32.17755126953125,0.7766132354736328,21.3,-3926.1541015625,0.0,-1.0,True,True,True
r,61041.06858857639,25.97568964037537,-31.770945498604203,65.7910385131836,91.90641825026522,True,69.69470129942384,2232.728271484375,31.4429988861084,23.19686508178711,1.0953537225723267,32.17755126953125,0.7345523834228516,21.3,-2211.428271484375,0.0,-1.0,True,True,True
r,61046.2609391088,73.83540792496235,4.709205583329049,27.109445571899414,89.37153349855862,True,72.04429186093212,2456.7294921875,30.920421600341797,22.49120330810547,2.179448366165161,32.17755126953125,1.2571296691894531,21.3,-2435.4294921875,0.0,-1.0,True,True,True
i,61011.09018731482,8.994635585423326,-44.23982216478671,66.87680053710938,87.83964068322017,True,61.25406442171918,4001.40625,31.63611602783203,22.764772415161133,1.0863592624664307,31.966468811035156,0.330352783203125,20.5,-3980.90625,0.0,-1.0,True,True,True
i,61046.131489722226,51.03273938897374,-27.661640840759553,62.94186019897461,89.9725160535237,True,101.18485451585606,1198.791259765625,31.246051788330078,23.648277282714844,1.1216446161270142,31.966468811035156,0.7204170227050781,20.5,-1178.291259765625,0.0,-1.0,True,True,True
z,61069.05157989584,355.99062286355604,-38.33537692503111,25.67721939086914,80.62859846715756,True,99.52041426274594,3504.546630859375,30.740842819213867,21.992176055908203,2.2894630432128906,31.58596897125244,0.8451261520385742,19.6,-3484.946630859375,0.0,-1.0,True,True,True
r,61018.160536331015,7.341633602650821,-26.157178509392676,39.74565505981445,76.52796743379714,True,134.40849855281294,2449.29736328125,31.161865234375,22.759809494018555,1.5578875541687012,32.17755126953125,1.01568603515625,21.3,-2427.99736328125,0.0,-1.0,True,True,True
r,61012.04030568287,27.82997878135624,-42.06756562271809,74.64369201660156,94.40875663075946,True,63.69303235173666,2431.4970703125,31.446348190307617,23.019407272338867,1.0368596315383911,32.17755126953125,0.7312030792236328,21.3,-2410.1970703125,0.0,-1.0,True,True,True
g,61014.188356377315,101.28812161603436,-16.71617734593364,59.137306213378906,99.65705208418116,True,52.29418798058012,524.503173828125,28.550689697265625,21.047542572021484,1.1642721891403198,32.23981475830078,3.6891250610351562,22.2,-502.303173828125,1.1987551024814381e-201,-1.0,True,True,True
