band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
g,61013.049766724536,356.66907567236876,-28.391242337209196,69.75626373291016,98.59718274203941,True,78.08260029258925,8239.798828125,32.292762756347656,23.73809242248535,1.0649032592773438,32.23981475830078,-0.052947998046875,22.2,-8217.598828125,0.0,-1.0,True,False,False
i,61030.251841400466,109.98520067751961,-80.21409114568995,39.98139953613281,1.4237274888760143,False,73.34603908185525,2102.24658203125,31.918359756469727,23.33121681213379,1.552502989768982,31.966468811035156,0.04810905456542969,20.5,-2081.74658203125,0.0,-1.0,False,False,False
g,61033.27787381945,149.87336510248582,2.0237994497399705,48.20674133300781,16.189108192952357,False,164.2614898865833,655.7438354492188,32.23044204711914,24.141176223754883,1.3402241468429565,32.23981475830078,0.009372711181640625,22.2,-633.5438354492187,3.823541605748613e-254,-1.0,False,False,False
r,61068.09571917824,71.9595727563623,-31.747463319910505,73.89968872070312,70.84561838145032,True,59.6136020173103,2373.043212890625,32.18040466308594,23.54836654663086,1.0400930643081665,32.17755126953125,-0.0028533935546875,21.3,-2351.743212890625,0.0,-1.0,True,False,False
y,61051.21441460648,112.85094523411362,3.488726186910792,56.12792205810547,44.16211005433159,True,92.00777478004677,3959.00927734375,30.53148651123047,22.013965606689453,1.2030800580978394,30.497295379638672,-0.034191131591796875,18.6,-3940.40927734375,0.0,-1.0,True,False,False
z,61051.24227137731,132.32641266808173,14.24987640730657,45.279823303222656,43.90152541469935,True,76.54553430565137,4161.24609375,31.592758178710938,22.907262802124023,1.4050394296646118,31.58596897125244,-0.006789207458496094,19.6,-4141.64609375,0.0,-1.0,True,False,False
i,61024.14064482639,9.575585248502932,-44.013607980962064,45.72732925415039,20.229136527789105,False,119.90588307137804,1823.957763671875,31.94646644592285,23.640134811401367,1.3927087783813477,31.966468811035156,0.020002365112304688,20.5,-1803.457763671875,0.0,-1.0,False,False,False
i,61088.05607446759,118.73322477030658,-11.221748545062729,61.65824890136719,0.25677107518351505,False,143.44927375779938,1364.285888671875,31.986961364746094,23.671714782714844,1.1360100507736206,31.966468811035156,-0.0204925537109375,20.5,-1343.785888671875,0.0,-1.0,False,False,False
i,61001.18374803241,357.826967655919,-26.56707047929781,38.92121887207031,3.2445990591757456,False,85.44388508629362,430.89471435546875,29.99768829345703,22.48189926147461,1.587173581123352,31.966468811035156,1.968780517578125,20.5,-410.39471435546875,6.952071944351665e-165,-1.0,False,True,False
y,61049.178878784725,106.71246974470034,9.909452832820119,49.62060546875,63.91451769319376,True,75.4511059121088,3774.4716796875,30.439403533935547,21.367431640625,1.3110758066177368,30.497295379638672,0.057891845703125,18.6,-3755.8716796875,0.0,-1.0,True,False,False
i,61091.37075233796,218.19919694848326,-38.975450648354006,79.98336029052734,9.788259052523701,False,135.65355383162745,2708.84912109375,31.07581901550293,22.661609649658203,1.015376329421997,31.966468811035156,0.8906497955322266,20.5,-2688.34912109375,0.0,-1.0,False,True,False
r,61002.27665837963,66.87636806904527,-77.71918829000401,41.293548583984375,7.996870111545373,False,73.7066602048612,1114.0970458984375,32.09777069091797,24.134685516357422,1.5115975141525269,32.17755126953125,0.07978057861328125,21.3,-1092.7970458984375,0.0,-1.0,False,False,False
y,60984.31445989583,33.35697246468855,-60.39149626745677,43.78354263305664,99.70178945796248,True,79.50766797013709,4546.0087890625,30.435266494750977,21.32267189025879,1.4416991472244263,30.497295379638672,0.06202888488769531,18.6,-4527.4087890625,0.0,-1.0,True,False,False
r,61019.226215752315,89.26876800667773,-45.25281683280722,74.9911117553711,66.23179422642511,True,81.50092487586365,1584.7806396484375,32.212890625,24.017671585083008,1.0350146293640137,32.17755126953125,-0.03533935546875,21.3,-1563.4806396484375,0.0,-1.0,True,False,False
i,61027.170324363426,37.49628306444613,-30.209617596656095,55.87978744506836,3.3707572683006948,False,119.51691869929994,1734.94140625,31.96882438659668,24.063392639160156,1.20572829246521,31.966468811035156,-0.0023555755615234375,20.5,-1714.44140625,0.0,-1.0,False,False,False
