band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,sky_bg,zero_point
i,60973.02050275463,341.19736726200307,-29.873374585463537,80.10688018798828,10.360518524452395,True,2305.47021484375,31.678455352783203
i,60973.02769633102,323.9960938559192,-17.3852028699116,74.94091033935547,10.39808344855503,True,2460.66015625,31.745628356933594
i,60973.0281140625,323.9962218295949,-17.385203734046076,74.87065887451172,10.400290459348655,True,2446.04541015625,31.72150993347168
i,60973.0292675,324.56357384528235,-17.385972114529,74.94084167480469,10.406399114244163,True,2402.357666015625,31.789127349853516
i,60973.02968601852,324.56345821673466,-17.386055176840298,74.87041473388672,10.408620937024477,True,2396.64111328125,31.652782440185547
i,60973.03059736111,325.04420340352885,-17.386687830204988,74.94098663330078,10.413468889701093,True,2359.9931640625,31.78000831604004
i,60973.03101493056,325.0441067109567,-17.38677373387862,74.87073516845703,10.415694686410044,True,2345.00244140625,31.76951026916504
i,60973.03192998843,325.52568711700735,-17.38739834812882,74.9410629272461,10.420582192922767,True,2349.132568359375,31.86038589477539
i,60973.03235628472,325.5257461860767,-17.38739640937755,74.86933135986328,10.42286377967947,True,2359.453125,31.84803009033203
i,60973.03327837963,326.0129173087818,-17.388109971704147,74.941162109375,10.427809066427097,True,2366.7080078125,31.798614501953125
i,60973.0336959375,326.01289573057284,-17.38811123388453,74.87088012695312,10.430053031803943,True,2383.63134765625,31.813617706298828
i,60973.034613194446,326.49483542616815,-17.388889805815282,74.94114685058594,10.434992384173613,True,2366.195556640625,31.804550170898438
i,60973.035031631945,326.495012868455,-17.38880695747754,74.8707275390625,10.437250200980753,True,2354.11865234375,31.81490135192871
i,60973.0359534838,326.97914932317656,-17.38949417449278,74.94117736816406,10.44223445872699,True,2357.488037109375,31.801733016967773
i,60973.03637141204,326.97897124150813,-17.389493915862897,74.8707504272461,10.444498690523712,True,2363.72216796875,31.808719635009766
i,60973.03723394676,327.44184568510025,-17.39014146100068,74.94127655029297,10.449180737438097,True,2344.27099609375,31.824756622314453
i,60973.03765172454,327.4418234112035,-17.390140664093384,74.8709487915039,10.451452920604499,True,2348.58203125,31.827651977539062
i,60973.03902849537,328.0897271707211,-17.39111771502664,74.94120788574219,10.458961092490426,True,2407.19140625,31.823820114135742
i,60973.03944700232,328.08964928826657,-17.391034554712615,74.87065887451172,10.461249577307314,True,2429.5654296875,31.840084075927734
i,60973.04042408565,328.5940789356321,-17.39181122473087,74.94134521484375,10.466603690647991,True,2492.353759765625,31.855728149414062
i,60973.04084221065,328.59421426196775,-17.391725872797842,74.87096405029297,10.468899686247996,True,2525.52734375,31.85689353942871
i,60973.04170755787,329.0580005554748,-17.392353742720303,74.9414291381836,10.473660604786533,True,2619.15185546875,31.81081771850586
i,60973.04212505787,329.0578817689915,-17.392351804948756,74.87110900878906,10.475961997058846,True,2646.881591796875,31.828369140625
i,60973.04303613426,329.5373329403504,-17.392985210267135,74.94117736816406,10.480994123891074,True,2630.56103515625,31.868515014648438
i,60973.04345417824,329.5375329895921,-17.392983389202687,74.87091064453125,10.483307682887155,True,2616.796875,31.841716766357422
i,60973.04438393519,330.0244032049225,-17.39362155944341,74.94129180908203,10.488463540178595,True,2609.10986328125,31.869741439819336
i,60973.04480178241,330.0243043191283,-17.393622400548615,74.87091827392578,10.490785317421519,True,2617.19140625,31.86370086669922
i,60973.04933111111,331.8110410376145,-17.395888560988357,74.94116973876953,10.51613821893415,True,2515.04638671875,31.90397834777832
i,60973.04974900463,331.8107131403624,-17.3958859587819,74.87068176269531,10.518494528889555,True,2509.8125,31.8411865234375
i,60973.050669351855,332.2944306294414,-17.396481469696596,74.94117736816406,10.523694181261972,True,2490.87060546875,31.880413055419922
i,60973.05108789352,332.29428823963156,-17.396562138892577,74.87073516845703,10.52606346049853,True,2487.85546875,31.852628707885742
